pricingID;name;regionCategory;date;price;timestamp;createdAt;updatedAt;grouping;providerID
109;c6a.xlarge-compute-optimized;AWS-us-west-1;2023-09-10 02:00:00+02;0.0770;2023-10-31 17:36:18.413+01;2023-10-31 17:36:18.413+01;2023-10-31 17:36:18.413+01;CO1;AWS
110;t4g.xlarge-general-purpose;AWS-eu-central-1;2023-09-11 02:00:00+02;0.0609;2023-10-30 19:55:09.686+01;2023-10-30 19:55:09.686+01;2023-10-30 19:55:09.686+01;GP1;AWS
111;c6a.xlarge-compute-optimized;AWS-eu-central-1;2023-09-11 02:00:00+02;0.1070;2023-10-30 19:55:09.937+01;2023-10-30 19:55:09.937+01;2023-10-30 19:55:09.937+01;CO1;AWS
112;t4g.xlarge-general-purpose;AWS-ap-south-1;2023-09-11 02:00:00+02;0.0301;2023-10-30 19:55:10.7+01;2023-10-30 19:55:10.7+01;2023-10-30 19:55:10.7+01;GP1;AWS
113;c6a.xlarge-compute-optimized;AWS-ap-south-1;2023-09-11 02:00:00+02;0.0754;2023-10-30 19:55:10.888+01;2023-10-30 19:55:10.888+01;2023-10-30 19:55:10.888+01;CO1;AWS
114;c6a.xlarge-compute-optimized;AWS-us-east-1;2023-09-11 02:00:00+02;0.1257;2023-10-30 19:55:11.468+01;2023-10-30 19:55:11.468+01;2023-10-30 19:55:11.468+01;CO1;AWS
115;t4g.xlarge-general-purpose;AWS-us-east-1;2023-09-11 02:00:00+02;0.1323;2023-10-30 19:55:11.581+01;2023-10-30 19:55:11.581+01;2023-10-30 19:55:11.581+01;GP1;AWS
116;t4g.xlarge-general-purpose;AWS-us-west-2;2023-09-11 02:00:00+02;0.1213;2023-10-30 19:55:12.055+01;2023-10-30 19:55:12.055+01;2023-10-30 19:55:12.055+01;GP1;AWS
117;c6a.xlarge-compute-optimized;AWS-us-west-2;2023-09-11 02:00:00+02;0.1235;2023-10-30 19:55:12.063+01;2023-10-30 19:55:12.063+01;2023-10-30 19:55:12.063+01;CO1;AWS
118;t4g.xlarge-general-purpose;AWS-us-west-1;2023-09-11 02:00:00+02;0.0519;2023-10-31 17:36:17.763+01;2023-10-31 17:36:17.763+01;2023-10-31 17:36:17.763+01;GP1;AWS
119;c6a.xlarge-compute-optimized;AWS-us-west-1;2023-09-11 02:00:00+02;0.0774;2023-10-31 17:36:18.41+01;2023-10-31 17:36:18.41+01;2023-10-31 17:36:18.41+01;CO1;AWS
120;t4g.xlarge-general-purpose;AWS-eu-central-1;2023-09-12 02:00:00+02;0.0588;2023-10-30 19:55:09.685+01;2023-10-30 19:55:09.685+01;2023-10-30 19:55:09.685+01;GP1;AWS
121;c6a.xlarge-compute-optimized;AWS-eu-central-1;2023-09-12 02:00:00+02;0.1070;2023-10-30 19:55:09.936+01;2023-10-30 19:55:09.936+01;2023-10-30 19:55:09.936+01;CO1;AWS
122;t4g.xlarge-general-purpose;AWS-ap-south-1;2023-09-12 02:00:00+02;0.0319;2023-10-30 19:55:10.699+01;2023-10-30 19:55:10.699+01;2023-10-30 19:55:10.699+01;GP1;AWS
123;c6a.xlarge-compute-optimized;AWS-ap-south-1;2023-09-12 02:00:00+02;0.0764;2023-10-30 19:55:10.888+01;2023-10-30 19:55:10.888+01;2023-10-30 19:55:10.888+01;CO1;AWS
124;c6a.xlarge-compute-optimized;AWS-us-east-1;2023-09-12 02:00:00+02;0.1256;2023-10-30 19:55:11.468+01;2023-10-30 19:55:11.468+01;2023-10-30 19:55:11.468+01;CO1;AWS
125;t4g.xlarge-general-purpose;AWS-us-east-1;2023-09-12 02:00:00+02;0.1319;2023-10-30 19:55:11.58+01;2023-10-30 19:55:11.58+01;2023-10-30 19:55:11.58+01;GP1;AWS
126;t4g.xlarge-general-purpose;AWS-us-west-2;2023-09-12 02:00:00+02;0.1212;2023-10-30 19:55:12.054+01;2023-10-30 19:55:12.054+01;2023-10-30 19:55:12.054+01;GP1;AWS
127;c6a.xlarge-compute-optimized;AWS-us-west-2;2023-09-12 02:00:00+02;0.1232;2023-10-30 19:55:12.062+01;2023-10-30 19:55:12.062+01;2023-10-30 19:55:12.062+01;CO1;AWS
128;t4g.xlarge-general-purpose;AWS-us-west-1;2023-09-12 02:00:00+02;0.0511;2023-10-31 17:36:17.762+01;2023-10-31 17:36:17.762+01;2023-10-31 17:36:17.762+01;GP1;AWS
129;c6a.xlarge-compute-optimized;AWS-us-west-1;2023-09-12 02:00:00+02;0.0780;2023-10-31 17:36:18.408+01;2023-10-31 17:36:18.408+01;2023-10-31 17:36:18.408+01;CO1;AWS
